date,region,product,sales,profit
2024-07-25,서울,B,459,119
2024-11-25,서울,C,482,180
2024-04-05,광주,B,260,151
2024-03-16,광주,D,864,89
2024-07-23,서울,C,993,149
2024-08-16,인천,A,700,163
2024-10-30,서울,B,764,175
2024-01-14,광주,D,615,90
2024-08-09,서울,D,933,130
2024-02-11,부산,C,510,39
2024-06-06,부산,A,480,45
2024-01-04,대구,C,417,74
2024-03-05,대구,D,413,169
2024-10-15,인천,A,505,90
2024-12-25,서울,C,433,39
2024-09-08,부산,B,781,164
2024-03-09,인천,C,469,30
2024-03-26,대구,B,672,23
2024-06-03,인천,C,821,40
2024-01-12,대구,D,568,171
2024-10-14,대구,D,577,76
2024-08-19,인천,C,391,147
2024-05-14,인천,C,512,148
2024-12-20,부산,A,644,40
2024-09-07,광주,B,999,73
2024-12-07,인천,D,775,57
2024-11-10,광주,C,431,148
2024-01-23,인천,B,769,139
2024-03-28,인천,A,801,67
2024-12-07,서울,B,869,92
2024-12-13,광주,A,323,95
2024-10-16,광주,D,229,30
2024-08-15,대구,C,548,191
2024-05-16,서울,C,217,53
2024-05-20,서울,D,652,180
2024-08-12,서울,B,861,37
2024-12-03,서울,B,139,10
2024-06-22,광주,D,192,134
2024-06-25,대구,D,577,27
2024-06-25,인천,B,490,161
2024-02-22,인천,B,165,163
2024-01-19,서울,A,683,89
2024-02-13,대구,D,837,104
2024-06-20,광주,A,517,166
2024-01-18,대구,B,853,107
2024-03-27,대구,B,844,54
2024-11-29,대구,C,262,25
2024-05-26,대구,D,170,47
2024-06-20,광주,B,722,67
2024-08-11,광주,A,338,127
2024-08-26,인천,B,174,138
2024-04-18,대구,B,894,115
2024-10-20,서울,A,681,190
2024-02-23,인천,D,507,49
2024-07-31,부산,B,791,32
2024-01-09,광주,B,845,122
2024-05-03,인천,B,993,86
2024-03-22,부산,D,772,70
2024-04-27,부산,D,804,119
2024-03-25,대구,B,375,32
2024-04-09,부산,C,997,140
2024-08-19,서울,C,432,199
2024-10-29,대구,A,296,45
2024-03-19,대구,A,493,44
2024-02-06,인천,D,520,183
2024-03-25,부산,A,734,166
2024-08-26,대구,D,947,180
2024-11-26,광주,C,635,81
2024-10-26,인천,C,929,123
2024-02-23,서울,C,823,194
2024-11-23,서울,D,439,114
2024-06-13,인천,B,432,24
2024-08-12,부산,D,295,44
2024-05-18,대구,D,439,171
2024-03-03,광주,A,681,182
2024-04-06,인천,A,210,137
2024-09-09,부산,D,256,83
2024-11-13,부산,B,546,105
2024-03-23,인천,D,314,114
2024-06-23,부산,B,396,169
2024-12-17,서울,A,927,64
2024-08-27,대구,A,374,91
